PhotoTran 2 Sig Gen 1MHz Jack King 04/09/15
365 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
366 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
367 F 979 0x46 0x0 0x3 0xd3 0x2c 0xff 
368 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
369 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
370 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
371 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
372 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
373 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
374 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
375 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
376 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
377 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
378 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
379 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
380 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
381 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
382 R 1014 0x52 0x0 0x3 0xf6 0x2c 0xff 
383 R 966 0x52 0x0 0x3 0xc6 0x2c 0xff 
384 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
385 R 973 0x52 0x0 0x3 0xcd 0x2c 0xff 
386 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
387 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
388 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
389 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
390 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
391 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
392 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
393 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
394 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
395 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
396 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
397 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
398 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
399 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
400 F 1008 0x46 0x0 0x3 0xf0 0x2c 0xff 
401 F 968 0x46 0x0 0x3 0xc8 0x2c 0xff 
402 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
403 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
404 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
405 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
406 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
407 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
408 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
409 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
410 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
411 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
412 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
413 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
414 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
415 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
416 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
417 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
418 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
