04/09/15 Jack King phototran 2 75KHz
366 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
367 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
368 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
369 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
370 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
371 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
372 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
373 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
374 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
375 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
376 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
377 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
378 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
379 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
380 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
381 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
382 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
383 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
384 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
385 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
386 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
387 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
388 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
389 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
390 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
391 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
392 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
393 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
394 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
395 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
396 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
397 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
398 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
399 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
400 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
401 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
